"CODUSU","NRO_HOGAR","COMPONENTE","ANO4","TRIMESTRE","CH04","CH06","NIVEL_ED","PP07H","ESTADO","AGLOMERADO","sexo","informal","edad","educ_grupo"
"TQRMNOPSQHJMLNCDEGJBF00866258",1,1,2024,3,1,34,6,2,1,13,"Varón",1,34,"Alta"
"TQRMNORYXHJNKPCDEHMHF00865283",1,3,2024,3,1,18,5,2,1,26,"Varón",1,18,"Media"
"TQRMNOQTRHJOKNCDEHPJB00862130",1,3,2024,3,1,30,2,0,1,29,"Varón",NA,30,"Baja"
"TQRMNORXPHLONNCDEIJAH00807449",1,2,2024,3,1,41,4,2,1,33,"Varón",1,41,"Media"
"TQRMNOPWQHKMLTCDEIKAH00867936",1,1,2024,3,1,40,6,0,1,34,"Varón",NA,40,"Alta"
"TQRMNOWRWHKLKQCDEHPJB00871571",1,2,2024,3,2,28,5,0,1,29,"Mujer",NA,28,"Media"
"TQRMNOWXXHKMKPCDEGOIH00869401",1,1,2024,3,2,61,2,2,1,18,"Mujer",1,61,"Baja"
"TQRMNORQRHJKKUCDEHMHF00867239",1,1,2024,3,2,35,6,1,1,26,"Mujer",0,35,"Alta"
"TQRMNOTSQHLMQNCDEIJAH00807606",1,1,2024,3,1,50,4,1,1,33,"Varón",0,50,"Media"
"TQRMNOQVWHMNLNCDEGLDF00810297",1,2,2024,3,2,34,4,1,1,15,"Mujer",0,34,"Media"
"TQRMNORXYHJOLPCDEGGFB00863512",1,2,2024,3,1,30,5,2,1,10,"Varón",1,30,"Media"
"TQRMNOQTPHJMKQCDEFPCH00862596",1,1,2024,3,1,53,3,1,1,9,"Varón",0,53,"Baja"
"TQRMNOQYYHKKKQCDEHLEH00871380",1,2,2024,3,2,39,5,2,1,25,"Mujer",1,39,"Media"
"TQRMNOQTXHKOKPCDEGOIH00871500",1,3,2024,3,1,31,3,0,1,18,"Varón",NA,31,"Baja"
"TQRMNOTRQHMOKSCDEGNFJ00810468",1,2,2024,3,2,60,1,1,1,17,"Mujer",0,60,"Baja"
"TQRMNOSRPHMMLMCDEIOAH00813231",1,1,2024,3,2,47,1,2,1,38,"Mujer",1,47,"Baja"
"TQRMNOQQUHKKKNCDEFKID00867879",1,1,2024,3,1,45,5,1,1,4,"Varón",0,45,"Media"
"TQRMNOUTUHKNLQCDEHIBB00871959",1,1,2024,3,2,51,2,2,1,22,"Mujer",1,51,"Baja"
